cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
0,2713.526141,10.38167437,3021.299755,11.01215266,1.0,1.0,22.8092939354883,24.949173,0.000159169357360309,4429206.863,,Cell3
1,2256.837549,8.868140907,2947.004387,10.77142822,1.0,1.0,22.516542134468192,24.270935,0.00014921883118505972,4791580.2873,,Cell3
2,2270.101371,8.921564087,2897.701783,10.6112461,1.0,1.0,22.219421746455286,24.326141,0.00013595849687224586,5185361.82893,,Cell3
3,2251.132427,8.854078322,2858.214132,10.48074089,1.0,1.0,22.732845631308102,24.373461,0.0001336679980814006,5648277.97855,,Cell3
4,2254.284563,8.863902781,2817.351086,10.33685754,1.0,1.0,22.76476324887378,24.870306,0.00018560530604962012,4013861.59618,,Cell3
5,1845.651097,7.131251728,1827.77329,6.234993927,0.9903135500371336,0.8743197077897346,29.40458442504409,42.44292024999999,0.00018564465576619547,4013010.8078,,Cell3
6,1836.272075,7.095612030000001,1829.479308,6.234673059,0.9963007840218884,0.8786660026844787,29.323677736749115,42.52218005000002,0.0001856856417656668,4012125.0244,,Cell3
7,1870.220732,7.232924454,1823.790953,6.234780077,0.9751741715800849,0.8619998890700428,29.063529857635892,41.949227899999975,0.00018069457830028392,4012262.11002,,Cell3
8,1841.884709,7.130634443,1823.374608,6.234792677,0.9899504562312973,0.8743671726322432,29.070568866094426,42.09591379999999,0.00018568439018357908,4012152.0676200003,,Cell3
9,1835.297596,7.1056345059999995,1824.360906,6.234718877,0.9940409173837331,0.8774330950649659,29.106304917891094,42.26626440000001,0.0001856904883732111,4012020.25223,,Cell3
10,1823.100098,7.06684198,1829.907049,6.234685735,1.0,0.882244962126633,29.19288850926743,42.512319599999984,0.00018572251758882492,4011328.3498,,Cell3
11,1847.070413,7.141763675,1827.253485,6.234381639,0.9892711572550105,0.8729470649979189,29.176057307420493,42.61326830000001,0.00018822617122662072,4011100.0244,,Cell3
12,1837.947697,7.107001621999999,1825.556552,6.233976642,0.9932581623404052,0.8771598732582927,29.373525862867318,42.772575,0.00019322498209934795,4010837.9961,,Cell3
13,1857.737386,7.187856655999999,1820.394916,6.23416956,0.9798989511211785,0.8673196835103942,29.226822059574474,42.18897529999999,0.00019069775041813272,4011552.3037,,Cell3
14,1832.766678,7.095441367,1823.64165,6.234193696,0.9950211731206519,0.8786195774930149,29.20884344453925,42.148360000000004,0.00018571313694026482,4011530.9680000003,,Cell3
15,1807.876001,6.992310837,1829.798455,6.234152439,1.0,0.8915725551003562,29.56380749822695,43.02730699999998,0.00019572117107778705,4010777.6572,,Cell3
16,1841.621151,7.115488105,1827.839755,6.234197735,0.992516704104687,0.8761447764376525,29.56101465198238,42.96421699999999,0.00019575435915267656,4010097.6723999996,,Cell3
17,1868.741583,7.227459193,1821.2469,6.233958155,0.9745846705440385,0.8625379941318474,29.260252474271017,42.49063375,0.0001907534519570014,4010386.1406,,Cell3
18,1812.046496,7.024207391,1831.270726,6.233634662,1.0,0.8874502580870622,29.56996038137869,43.2315656,0.0001957782205100894,4009608.4128,,Cell3
19,1882.089591,7.275953111,1825.325132,6.234014333,0.969839661580701,0.8567969361395739,29.215692981018123,42.503646099999976,0.0001932536228381573,4010243.0609999998,,Cell3
20,1838.521612,7.117477149,1827.081462,6.233891432,0.9937775275931867,0.8758568944441019,29.014494182363013,42.22840949999998,0.00019076300147506973,4010180.1402000003,,Cell3
21,1832.194544,7.091262247,1829.487783,6.233879984,0.9985226672523047,0.8790931384094952,29.044760768965517,42.59158125,0.0001932695933613142,4009912.1983999996,,Cell3
22,1849.477472,7.157702481,1833.311086,6.233891092,0.9912589440829912,0.8709346481706607,29.11754556672598,42.96539779999999,0.00019327595405352698,4009780.2326,,Cell3
23,1849.346308,7.161748278,1837.628831,6.2336745669999996,0.9936639898382948,0.8704124083988085,28.59518054275742,42.63061825,0.00019077594109635887,4009908.6687999996,,Cell3
24,1851.197184,7.164146977,1828.293018,6.233353031,0.9876273763821801,0.8700760957322276,29.155683739092492,42.8534115,0.00019575330584739362,4010118.739,,Cell3
25,1817.154802,7.05720725,1829.429802,6.233728099,1.0,0.8833137356140419,29.683990672173913,43.104595999999994,0.00020323907636713657,4010026.0961999996,,Cell3
26,1856.31656,7.1729873280000005,1825.550656,6.23368942,0.9834263699075119,0.8690506667517146,29.701793190846285,43.10301854999999,0.0002032640251540478,4009534.3944,,Cell3
27,1827.539388,7.064414408,1832.612697,6.233537363,1.0,0.8823855740881955,29.564589339805824,43.28046119999998,0.00020080608069929318,4008813.3646000004,,Cell3
28,1842.735712,7.119781285,1833.112517,6.233571925,0.9947777671332176,0.8755285696953821,29.376774094947734,42.95159789999996,0.00019335601283552534,4008119.9887999995,,Cell3
29,1872.297538,7.240102535,1827.644343,6.233332362,0.9761505881978038,0.8609453156038762,29.29739222774869,42.89875825,0.00019584374535474888,4008267.4,,Cell3
30,1841.818643,7.129419756,1829.633862,6.233120491,0.9933843752498056,0.8742815971460105,29.198540606643355,43.00601269999999,0.0001958324524761373,4008498.0302,,Cell3
31,1831.438314,7.086862239999999,1834.126831,6.233549415,1.0,0.8795922940079615,29.07719448440208,42.860508599999996,0.00019581930186380117,4008767.2284000004,,Cell3
32,1839.037802,7.111519173,1836.041849,6.233398439,0.9983709127693069,0.8765213574430168,29.15965589903424,43.256805299999996,0.000198341559527079,4008207.3666,,Cell3
33,1842.971353,7.123631417,1838.950185,6.233383198,0.9978181060744898,0.87502887686251,29.064538232189975,42.99339700000002,0.00019837502882048973,4007531.1128000002,,Cell3
34,1873.480448,7.245535015,1834.761231,6.23335912,0.9793330018248474,0.8603034982365619,28.853738479310344,42.7445768,0.00019837290015566988,4007573.6119999997,,Cell3
35,1831.104931,7.083100665,1837.231775,6.233095322,1.0,0.8799953038645681,29.227086417475732,43.37983239999998,0.0002008921964791448,4007094.9201,,Cell3
36,1842.174647,7.119577868,1837.601739,6.232893301,0.9975176577272697,0.8754582668467837,29.673061111721612,44.03243680000001,0.0002058985880947299,4006797.7524,,Cell3
37,1857.89615,7.186980772999999,1837.723734,6.233270805,0.9891423339243154,0.8673003312346556,29.300158946302822,43.281253,0.00019841727655396866,4006677.3105999995,,Cell3
38,1848.129238,7.139748806999999,1838.692501,6.233113598,0.9948938976744872,0.8730158114090638,29.21669275153106,43.16453209999995,0.0001984547378802556,4005920.9898,,Cell3
39,1849.338527,7.1437862260000005,1839.165731,6.233144896,0.9944992245327293,0.872526794448902,29.220235092920355,43.31161354999998,0.00020098669101796952,4005210.474,,Cell3
40,1850.806986,7.149357779,1839.73634,6.233222447,0.9940184762194322,0.8718576744486073,29.162760686948847,43.335666549999985,0.00020102177024926935,4004511.5461999997,,Cell3
41,1851.484668,7.151986053,1840.132435,6.233037384,0.9938685784461488,0.871511400862627,29.13292569806338,43.492213,0.0002010565814890933,4003818.6964,,Cell3
42,1849.683933,7.144669233,1841.617248,6.233237998,0.995638884646137,0.8724319901626438,29.18143746317657,43.503649700000004,0.0002010956090030818,4003041.6576,,Cell3
43,1854.327755,7.162445408,1842.43154,6.233114713,0.9935846211825697,0.8702495248393801,29.116062823943665,43.316741750000006,0.00019863519968391752,4002281.5758,,Cell3
44,1854.013777,7.161509317,1843.646335,6.233235013,0.99440810951428,0.8703800745191433,29.078942312499997,43.458698749999996,0.00020366845870823058,4001571.9919,,Cell3
45,1854.56314,7.163438822,1844.238129,6.233002695,0.9944326451996669,0.8701132025944731,29.085561727753305,43.43346119999999,0.00020120738336697316,4000817.3981,,Cell3
46,1854.30957,7.161836310999999,1845.390957,6.232557073,0.9951903322162114,0.8702456747618342,29.34077863157895,43.92005675,0.00020124786067094117,4000012.7073,,Cell3
47,1857.92001,7.175663573,1845.698891,6.232732764,0.9934221500741574,0.8685932249460547,29.123754993821713,43.55175779999998,0.00020127418069868782,3999489.6375,,Cell3
48,1859.369042,7.18178764,1844.142828,6.23271813,0.9918110855585601,0.8678505188994979,29.233357734767026,43.774155,0.000206312922153651,3998750.9817,,Cell3
49,1855.649828,7.1678039909999995,1843.479916,6.232647978,0.9934416979882909,0.8695338189807932,29.20589650818182,43.948445199999995,0.0002038475150116391,3998057.0768999998,,Cell3
50,2594.498135,9.92804513,1843.479916,6.23436939,0.710534299921553,0.6279553838007181,28.107511513807534,41.63929229999999,0.00017885430764178487,3997633.6574,,Cell3
51,1851.552767,7.170136524,1835.326556,6.234169246,0.991236430692553,0.869463116236753,28.588510360641138,42.443709199999965,0.0001838809527833082,3997118.7275000005,,Cell3
52,1839.427383,7.120823266,1838.155505,6.234075603,0.9993085467728954,0.8754711878282417,28.63287643867502,42.381408000000015,0.0001813739325788154,3997239.2377000004,,Cell3
53,1852.580691,7.169577521,1838.691712,6.233856918,0.9925029019964022,0.8694873442320368,28.648775342727273,42.670839499999985,0.00018385263399419552,3997734.403,,Cell3
54,1832.745856,7.088745485,1843.918005,6.233973632,1.0,0.8794184591887629,28.703394354071364,42.75364599999999,0.00018383462765667106,3998126.5193000003,,Cell3
55,1854.117476,7.166558968,1843.041231,6.234171689,0.9940261363460662,0.8698974942977125,28.702270775583482,42.780854649999974,0.00018632791521209087,3998295.1516000004,,Cell3
56,1883.72401,7.2860499590000005,1833.042989,6.234197059,0.9730953044443066,0.8556346846482006,28.577543821678322,42.27848689999999,0.00018381073391219346,3998645.6958,,Cell3
